Configuring device: MAX78000, simulate=False.
[18:15:45] === TINY POSE TRAINING - SECOND-LEVEL DISTILLATION ===
[18:15:45] CPU Cores: 20, Compute threads: 16, Data workers: 8
[18:15:45] Subset: 15000, Batch: 8, Save every: 100
[18:15:45] Teacher checkpoint: /home/jkal/Desktop/MLonMCU/ext/ai8x-training/pose_med2_train/best.pth
[18:15:55] Dataset: 15000 samples, 1875 batches per epoch
[18:16:00] Tiny Student params: 112,374
[18:16:00] Model size: 0.43MB (FP32), 0.11MB (8-bit quantized)
[18:16:00] Note: Model uses QAT - weights are FP32 but quantization is simulated during training
[18:16:00]       This prepares the model for 8-bit quantization after training completes
[18:16:00] Loading teacher model from /home/jkal/Desktop/MLonMCU/ext/ai8x-training/pose_med2_train/best.pth...
[18:16:05] Teacher loaded (first-level student with 659,136 params)
[18:16:06] Starting training from batch 0...
[18:16:10] Batch 1/10000 | Loss: 1187.1658 | Student: 1214.1340 | Distill: 1178.1764 | Time: 2.2s | ETA: 6.1h
[18:16:10] Batch 2/10000 | Loss: 1056.8969 | Student: 1091.2836 | Distill: 1045.4346 | Time: 0.5s | ETA: 1.4h
[18:16:10] Batch 3/10000 | Loss: 910.4984 | Student: 933.1954 | Distill: 902.9327 | Time: 0.4s | ETA: 1.1h
[18:16:11] Batch 4/10000 | Loss: 766.8165 | Student: 791.6438 | Distill: 758.5406 | Time: 0.2s | ETA: 27.0m
[18:16:11] Batch 5/10000 | Loss: 681.4972 | Student: 711.6544 | Distill: 671.4448 | Time: 0.3s | ETA: 47.9m
[18:16:11] Batch 6/10000 | Loss: 576.3293 | Student: 601.3314 | Distill: 567.9952 | Time: 0.2s | ETA: 29.2m
[18:16:11] Batch 7/10000 | Loss: 520.6813 | Student: 549.1176 | Distill: 511.2025 | Time: 0.1s | ETA: 24.7m
[18:16:11] Batch 8/10000 | Loss: 452.8042 | Student: 481.5983 | Distill: 443.2061 | Time: 0.2s | ETA: 36.8m
[18:16:12] Batch 9/10000 | Loss: 397.2165 | Student: 416.4798 | Distill: 390.7954 | Time: 0.1s | ETA: 23.3m
[18:16:12] Batch 10/10000 | Loss: 350.4584 | Student: 372.6857 | Distill: 343.0493 | Time: 0.1s | ETA: 23.6m
[18:16:12] Batch 11/10000 | Loss: 327.2943 | Student: 355.2025 | Distill: 317.9916 | Time: 0.2s | ETA: 29.0m
[18:16:12] Batch 12/10000 | Loss: 297.2491 | Student: 333.7475 | Distill: 285.0829 | Time: 0.1s | ETA: 22.3m
[18:16:12] Batch 13/10000 | Loss: 257.7784 | Student: 278.3020 | Distill: 250.9372 | Time: 0.2s | ETA: 33.9m
[18:16:13] Batch 14/10000 | Loss: 237.7971 | Student: 260.6791 | Distill: 230.1698 | Time: 0.3s | ETA: 46.6m
[18:16:13] Batch 15/10000 | Loss: 223.1575 | Student: 243.9072 | Distill: 216.2409 | Time: 0.1s | ETA: 23.8m
[18:16:13] Batch 16/10000 | Loss: 202.0315 | Student: 218.9697 | Distill: 196.3855 | Time: 0.2s | ETA: 32.7m
[18:16:13] Batch 17/10000 | Loss: 191.0314 | Student: 220.9712 | Distill: 181.0515 | Time: 0.2s | ETA: 30.1m
[18:16:13] Batch 18/10000 | Loss: 171.8176 | Student: 198.5984 | Distill: 162.8907 | Time: 0.2s | ETA: 39.6m
[18:16:14] Batch 19/10000 | Loss: 155.5565 | Student: 181.1213 | Distill: 147.0349 | Time: 0.2s | ETA: 27.8m
[18:16:14] Batch 20/10000 | Loss: 143.9305 | Student: 169.6049 | Distill: 135.3724 | Time: 0.1s | ETA: 22.3m
[18:16:15] Batch 30/10000 | Loss: 1006.8653 | Student: 1084.1295 | Distill: 981.1105 | Time: 0.2s | ETA: 25.4m
[18:16:17] Batch 40/10000 | Loss: 49.0213 | Student: 75.9257 | Distill: 40.0532 | Time: 0.2s | ETA: 32.4m
[18:16:20] Batch 50/10000 | Loss: 33.9818 | Student: 61.8424 | Distill: 24.6949 | Time: 0.3s | ETA: 50.8m
[18:16:28] Batch 60/10000 | Loss: 27.3079 | Student: 57.6498 | Distill: 17.1940 | Time: 0.8s | ETA: 2.2h
[18:16:32] Batch 70/10000 | Loss: 22.3062 | Student: 48.1164 | Distill: 13.7028 | Time: 0.3s | ETA: 56.2m
[18:16:33] Batch 80/10000 | Loss: 18.7704 | Student: 44.7070 | Distill: 10.1249 | Time: 0.1s | ETA: 24.0m
[18:16:40] Batch 90/10000 | Loss: 18.6668 | Student: 47.2342 | Distill: 9.1443 | Time: 0.6s | ETA: 1.7h
[18:16:42] Batch 100/10000 | Loss: 17.1546 | Student: 44.2512 | Distill: 8.1225 | Time: 0.2s | ETA: 32.2m
[18:16:42]   *** Saved BEST at batch 100 ***
[18:16:49] Batch 110/10000 | Loss: 16.3660 | Student: 45.4304 | Distill: 6.6779 | Time: 0.7s | ETA: 2.0h
[18:16:51] Batch 120/10000 | Loss: 15.3995 | Student: 43.8545 | Distill: 5.9145 | Time: 0.2s | ETA: 36.9m
[18:16:59] Batch 130/10000 | Loss: 14.3153 | Student: 40.6811 | Distill: 5.5267 | Time: 0.7s | ETA: 2.0h
[18:17:01] Batch 140/10000 | Loss: 14.5528 | Student: 39.0009 | Distill: 6.4034 | Time: 0.2s | ETA: 32.4m
[18:17:02] Batch 150/10000 | Loss: 13.1785 | Student: 39.8204 | Distill: 4.2978 | Time: 0.2s | ETA: 28.0m
[18:17:04] Batch 160/10000 | Loss: 13.5868 | Student: 41.0736 | Distill: 4.4246 | Time: 0.2s | ETA: 25.1m
[18:17:05] Batch 170/10000 | Loss: 13.1265 | Student: 40.6617 | Distill: 3.9481 | Time: 0.1s | ETA: 23.2m
[18:17:07] Batch 180/10000 | Loss: 13.4568 | Student: 43.7944 | Distill: 3.3443 | Time: 0.2s | ETA: 24.7m
[18:17:09] Batch 190/10000 | Loss: 12.5711 | Student: 40.2895 | Distill: 3.3316 | Time: 0.2s | ETA: 29.6m
[18:17:11] Batch 200/10000 | Loss: 11.8919 | Student: 38.7263 | Distill: 2.9471 | Time: 0.2s | ETA: 37.4m
[18:17:11]   *** Saved BEST at batch 200 ***
[18:17:18] Batch 210/10000 | Loss: 12.2757 | Student: 40.6452 | Distill: 2.8192 | Time: 0.6s | ETA: 1.7h
[18:17:21] Batch 220/10000 | Loss: 11.9843 | Student: 40.0604 | Distill: 2.6256 | Time: 0.3s | ETA: 55.1m
[18:17:23] Batch 230/10000 | Loss: 12.0212 | Student: 39.6396 | Distill: 2.8151 | Time: 0.2s | ETA: 31.7m
[18:17:26] Batch 240/10000 | Loss: 11.1375 | Student: 38.1351 | Distill: 2.1383 | Time: 0.3s | ETA: 46.7m
[18:17:28] Batch 250/10000 | Loss: 12.9738 | Student: 43.1616 | Distill: 2.9112 | Time: 0.2s | ETA: 26.9m
[18:17:30] Batch 260/10000 | Loss: 11.6966 | Student: 40.0305 | Distill: 2.2519 | Time: 0.2s | ETA: 33.5m
[18:17:32] Batch 270/10000 | Loss: 12.3971 | Student: 41.7066 | Distill: 2.6273 | Time: 0.2s | ETA: 37.2m
[18:17:34] Batch 280/10000 | Loss: 12.9235 | Student: 43.4520 | Distill: 2.7474 | Time: 0.1s | ETA: 23.7m
[18:17:36] Batch 290/10000 | Loss: 11.2109 | Student: 38.3673 | Distill: 2.1588 | Time: 0.2s | ETA: 40.3m
[18:17:38] Batch 300/10000 | Loss: 10.9435 | Student: 37.1385 | Distill: 2.2118 | Time: 0.2s | ETA: 27.0m
[18:17:38]   Saved checkpoint at batch 300
