[17:50:17] === FAST POSE TRAINING ===
[17:50:17] CPU Cores: 20, Compute threads: 16, Data workers: 8
[17:50:17] Subset: 15000, Batch: 8, Save every: 100
[17:50:22] Dataset: 15000 samples, 1875 batches per epoch
[17:50:26] Student params: 659,136
[17:50:26] Teacher loaded
[17:50:30] Starting training from batch 0...
[17:50:57] Batch 1/15000 | Loss: 1551.8496 | Student: 1578.1257 | Distill: 1540.5884 | Time: 26.9s | ETA: 112.2h
[17:51:20] Batch 2/15000 | Loss: 1256.5398 | Student: 1274.1976 | Distill: 1248.9722 | Time: 22.7s | ETA: 94.4h
[17:51:42] Batch 3/15000 | Loss: 945.8538 | Student: 956.8835 | Distill: 941.1268 | Time: 21.8s | ETA: 90.8h
[17:52:04] Batch 4/15000 | Loss: 711.9592 | Student: 734.7545 | Distill: 702.1898 | Time: 21.8s | ETA: 91.0h
[17:52:25] Batch 5/15000 | Loss: 538.3563 | Student: 560.8945 | Distill: 528.6971 | Time: 21.8s | ETA: 90.9h
[17:52:47] Batch 6/15000 | Loss: 438.2487 | Student: 460.3427 | Distill: 428.7799 | Time: 21.8s | ETA: 90.6h
[17:53:09] Batch 7/15000 | Loss: 345.3231 | Student: 362.1691 | Distill: 338.1034 | Time: 21.9s | ETA: 91.4h
[17:53:31] Batch 8/15000 | Loss: 292.9388 | Student: 308.8668 | Distill: 286.1125 | Time: 21.5s | ETA: 89.4h
[17:53:52] Batch 9/15000 | Loss: 265.6447 | Student: 283.0140 | Distill: 258.2008 | Time: 21.7s | ETA: 90.5h
[17:54:15] Batch 10/15000 | Loss: 232.1467 | Student: 254.2561 | Distill: 222.6712 | Time: 22.2s | ETA: 92.3h
[17:54:36] Batch 11/15000 | Loss: 209.3971 | Student: 225.7192 | Distill: 202.4019 | Time: 21.7s | ETA: 90.5h
[17:54:58] Batch 12/15000 | Loss: 195.6445 | Student: 212.7598 | Distill: 188.3094 | Time: 21.8s | ETA: 90.6h
[17:55:20] Batch 13/15000 | Loss: 184.4328 | Student: 210.6226 | Distill: 173.2086 | Time: 21.9s | ETA: 91.0h
[17:55:42] Batch 14/15000 | Loss: 164.7678 | Student: 180.5168 | Distill: 158.0182 | Time: 21.8s | ETA: 90.8h
[17:56:03] Batch 15/15000 | Loss: 152.1289 | Student: 170.0697 | Distill: 144.4400 | Time: 21.7s | ETA: 90.4h
[17:56:25] Batch 16/15000 | Loss: 137.0092 | Student: 154.1517 | Distill: 129.6624 | Time: 21.9s | ETA: 91.0h
[17:56:47] Batch 17/15000 | Loss: 128.9930 | Student: 150.5529 | Distill: 119.7531 | Time: 21.8s | ETA: 90.7h
[17:57:09] Batch 18/15000 | Loss: 119.0205 | Student: 144.0803 | Distill: 108.2805 | Time: 21.7s | ETA: 90.3h
[17:57:31] Batch 19/15000 | Loss: 110.5055 | Student: 123.8746 | Distill: 104.7759 | Time: 21.9s | ETA: 91.0h
[17:57:53] Batch 20/15000 | Loss: 96.1557 | Student: 115.7727 | Distill: 87.7485 | Time: 21.9s | ETA: 91.1h
[18:01:32] Batch 30/15000 | Loss: 876.4462 | Student: 933.7426 | Distill: 851.8906 | Time: 22.0s | ETA: 91.4h
[18:05:12] Batch 40/15000 | Loss: 40.6447 | Student: 64.1209 | Distill: 30.5835 | Time: 22.0s | ETA: 91.4h
[18:08:50] Batch 50/15000 | Loss: 28.0394 | Student: 52.2411 | Distill: 17.6672 | Time: 21.7s | ETA: 90.2h
[18:12:28] Batch 60/15000 | Loss: 23.7570 | Student: 46.6578 | Distill: 13.9423 | Time: 21.8s | ETA: 90.5h
[18:16:05] Batch 70/15000 | Loss: 24.1225 | Student: 47.2530 | Distill: 14.2094 | Time: 21.7s | ETA: 90.2h
[18:19:45] Batch 80/15000 | Loss: 21.0555 | Student: 45.5109 | Distill: 10.5746 | Time: 22.0s | ETA: 91.1h
[18:23:24] Batch 90/15000 | Loss: 19.9045 | Student: 42.5700 | Distill: 10.1907 | Time: 21.9s | ETA: 90.8h
[18:27:02] Batch 100/15000 | Loss: 20.3749 | Student: 44.2809 | Distill: 10.1294 | Time: 21.7s | ETA: 90.0h
[18:27:02]   *** Saved BEST at batch 100 ***
[18:30:46] Batch 110/15000 | Loss: 20.6897 | Student: 46.2021 | Distill: 9.7558 | Time: 22.4s | ETA: 92.6h
[18:34:21] Batch 120/15000 | Loss: 18.7450 | Student: 41.3856 | Distill: 9.0418 | Time: 21.6s | ETA: 89.1h
[18:37:58] Batch 130/15000 | Loss: 21.3783 | Student: 48.9865 | Distill: 9.5463 | Time: 21.6s | ETA: 89.4h
[18:41:36] Batch 140/15000 | Loss: 18.2588 | Student: 40.8133 | Distill: 8.5926 | Time: 21.8s | ETA: 89.9h
[18:45:16] Batch 150/15000 | Loss: 17.3796 | Student: 42.2694 | Distill: 6.7126 | Time: 22.0s | ETA: 90.8h
