nohup: ignoring input
Configuring device: MAX78000, simulate=False.
[10:04:42] === FAST POSE TRAINING ===
[10:04:42] CPU Cores: 20, Compute threads: 16, Data workers: 8
[10:04:42] Subset: 15000, Batch: 8, Save every: 100
[10:04:49] Dataset: 15000 samples, 1875 batches per epoch
[10:04:53] Student params: 659,136
[10:04:57] Teacher loaded
[10:04:57] 
[10:04:57] === RESUMING TRAINING ===
[10:04:57] Loading checkpoint from pose_med2_train/latest.pth...
[10:04:57] Resumed from batch 800, best loss: 10.0679
[10:04:57] Continuing training from batch 800...
[10:10:56] Batch 810/15000 | Loss: 13.7507 | Student: 34.3619 | Distill: 4.9173 | Time: 35.8s | ETA: 140.9h
[10:16:16] Batch 820/15000 | Loss: 15.9541 | Student: 38.7291 | Distill: 6.1934 | Time: 32.0s | ETA: 126.1h
[10:21:53] Batch 830/15000 | Loss: 16.2512 | Student: 41.0282 | Distill: 5.6325 | Time: 33.7s | ETA: 132.7h
[10:26:45] Batch 840/15000 | Loss: 14.9344 | Student: 37.7908 | Distill: 5.1388 | Time: 29.2s | ETA: 115.0h
[10:31:37] Batch 850/15000 | Loss: 14.5622 | Student: 37.0827 | Distill: 4.9105 | Time: 29.1s | ETA: 114.4h
[10:36:23] Batch 860/15000 | Loss: 14.2076 | Student: 37.4426 | Distill: 4.2498 | Time: 28.6s | ETA: 112.5h
[10:41:12] Batch 870/15000 | Loss: 16.8211 | Student: 43.2932 | Distill: 5.4759 | Time: 28.9s | ETA: 113.4h
[10:46:30] Batch 880/15000 | Loss: 15.0623 | Student: 39.0056 | Distill: 4.8009 | Time: 31.8s | ETA: 124.6h
[10:52:26] Batch 890/15000 | Loss: 15.5752 | Student: 38.7757 | Distill: 5.6322 | Time: 35.6s | ETA: 139.4h
[10:58:27] Batch 900/15000 | Loss: 15.0374 | Student: 36.6450 | Distill: 5.7770 | Time: 36.1s | ETA: 141.5h
[10:58:27]   Saved checkpoint at batch 900
[11:04:29] Batch 910/15000 | Loss: 15.9544 | Student: 39.9225 | Distill: 5.6824 | Time: 36.2s | ETA: 141.7h
[11:10:27] Batch 920/15000 | Loss: 14.5586 | Student: 36.7890 | Distill: 5.0313 | Time: 35.8s | ETA: 140.0h
[11:16:24] Batch 930/15000 | Loss: 15.0811 | Student: 36.4590 | Distill: 5.9191 | Time: 35.7s | ETA: 139.4h
[11:22:27] Batch 940/15000 | Loss: 14.4825 | Student: 37.7827 | Distill: 4.4967 | Time: 36.3s | ETA: 141.9h
[11:28:27] Batch 950/15000 | Loss: 15.7176 | Student: 36.9098 | Distill: 6.6352 | Time: 36.0s | ETA: 140.4h
[11:34:25] Batch 960/15000 | Loss: 14.0267 | Student: 35.0228 | Distill: 5.0284 | Time: 35.8s | ETA: 139.6h
[11:40:22] Batch 970/15000 | Loss: 13.8947 | Student: 36.8924 | Distill: 4.0386 | Time: 35.7s | ETA: 139.1h
[11:46:19] Batch 980/15000 | Loss: 15.1777 | Student: 40.3418 | Distill: 4.3931 | Time: 35.7s | ETA: 139.1h
[11:52:19] Batch 990/15000 | Loss: 14.2366 | Student: 35.5707 | Distill: 5.0934 | Time: 36.0s | ETA: 140.1h
[11:58:18] Batch 1000/15000 | Loss: 14.4313 | Student: 35.5368 | Distill: 5.3861 | Time: 35.9s | ETA: 139.8h
[11:58:19]   *** Saved BEST at batch 1000 ***
[12:04:14] Batch 1010/15000 | Loss: 14.0811 | Student: 36.9524 | Distill: 4.2792 | Time: 35.5s | ETA: 138.1h
[12:10:11] Batch 1020/15000 | Loss: 14.9009 | Student: 37.3942 | Distill: 5.2610 | Time: 35.7s | ETA: 138.7h
[12:16:07] Batch 1030/15000 | Loss: 14.3416 | Student: 35.9096 | Distill: 5.0981 | Time: 35.6s | ETA: 138.1h
[12:22:07] Batch 1040/15000 | Loss: 15.5399 | Student: 39.1661 | Distill: 5.4143 | Time: 35.9s | ETA: 139.3h
[12:28:01] Batch 1050/15000 | Loss: 16.0333 | Student: 39.5839 | Distill: 5.9403 | Time: 35.5s | ETA: 137.4h
