nohup: ignoring input
Configuring device: MAX78000, simulate=False.
[18:26:14] === TINY POSE TRAINING - SECOND-LEVEL DISTILLATION ===
[18:26:14] CPU Cores: 20, Compute threads: 16, Data workers: 8
[18:26:14] Subset: 50000, Batch: 8, Save every: 300
[18:26:14] Teacher checkpoint: /home/jkal/Desktop/MLonMCU/ext/ai8x-training/pose_med2_train/best.pth
[18:26:24] Dataset: 50000 samples, 6250 batches per epoch
[18:26:24] Training for 50 epochs = 312500 total batches
[18:26:29] Tiny Student params: 112,374
[18:26:29] Model size: 0.43MB (FP32), 0.11MB (8-bit quantized)
[18:26:29] Note: Model uses QAT - weights are FP32 but quantization is simulated during training
[18:26:29]       This prepares the model for 8-bit quantization after training completes
[18:26:29] Loading teacher model from /home/jkal/Desktop/MLonMCU/ext/ai8x-training/pose_med2_train/best.pth...
[18:26:33] Teacher loaded (first-level student with 659,136 params)
[18:26:34] Starting training from batch 0 (epoch 0)...
[18:26:34] Epoch 1/50 starting...
[18:26:36] Batch 1/312500 | Loss: 1463.5168 | Student: 1490.0645 | Distill: 1454.6676 | Time: 0.8s | ETA: 71.4h
[18:26:36] Batch 2/312500 | Loss: 1276.2605 | Student: 1299.4485 | Distill: 1268.5312 | Time: 0.2s | ETA: 16.0h
[18:26:36] Batch 3/312500 | Loss: 1044.7841 | Student: 1066.4932 | Distill: 1037.5477 | Time: 0.2s | ETA: 13.6h
[18:26:36] Batch 4/312500 | Loss: 922.1620 | Student: 954.0967 | Distill: 911.5172 | Time: 0.1s | ETA: 11.1h
[18:26:38] Batch 5/312500 | Loss: 861.6185 | Student: 883.9357 | Distill: 854.1794 | Time: 1.2s | ETA: 106.8h
[18:26:38] Batch 6/312500 | Loss: 647.4949 | Student: 677.4071 | Distill: 637.5241 | Time: 0.8s | ETA: 69.8h
[18:26:39] Batch 7/312500 | Loss: 593.2062 | Student: 623.8911 | Distill: 582.9779 | Time: 0.1s | ETA: 12.6h
[18:26:39] Batch 8/312500 | Loss: 520.1519 | Student: 545.8994 | Distill: 511.5694 | Time: 0.1s | ETA: 7.2h
[18:26:39] Batch 9/312500 | Loss: 416.2152 | Student: 443.4214 | Distill: 407.1465 | Time: 0.2s | ETA: 14.6h
[18:26:39] Batch 10/312500 | Loss: 329.3450 | Student: 356.2307 | Distill: 320.3832 | Time: 0.2s | ETA: 14.5h
[18:26:39] Batch 11/312500 | Loss: 340.8397 | Student: 363.2155 | Distill: 333.3810 | Time: 0.4s | ETA: 32.4h
[18:26:40] Batch 12/312500 | Loss: 297.1195 | Student: 322.1091 | Distill: 288.7896 | Time: 1.0s | ETA: 84.0h
[18:26:41] Batch 13/312500 | Loss: 287.6613 | Student: 315.9353 | Distill: 278.2366 | Time: 0.3s | ETA: 22.4h
[18:26:41] Batch 14/312500 | Loss: 245.7610 | Student: 272.8263 | Distill: 236.7393 | Time: 0.2s | ETA: 21.3h
[18:26:41] Batch 15/312500 | Loss: 214.7408 | Student: 235.3049 | Distill: 207.8861 | Time: 0.1s | ETA: 9.7h
[18:26:41] Batch 16/312500 | Loss: 228.8387 | Student: 254.5316 | Distill: 220.2745 | Time: 0.1s | ETA: 11.5h
[18:26:41] Batch 17/312500 | Loss: 205.6929 | Student: 234.0186 | Distill: 196.2510 | Time: 0.1s | ETA: 10.5h
[18:26:42] Batch 18/312500 | Loss: 178.8080 | Student: 203.3174 | Distill: 170.6381 | Time: 0.4s | ETA: 38.4h
[18:26:42] Batch 19/312500 | Loss: 183.1691 | Student: 208.6465 | Distill: 174.6767 | Time: 0.2s | ETA: 19.4h
[18:26:42] Batch 20/312500 | Loss: 170.5107 | Student: 200.8110 | Distill: 160.4105 | Time: 0.1s | ETA: 9.9h
[18:26:44] Batch 30/312500 | Loss: 1168.7962 | Student: 1247.3458 | Distill: 1142.6130 | Time: 0.1s | ETA: 12.4h
[18:26:46] Batch 40/312500 | Loss: 95.1198 | Student: 124.6147 | Distill: 85.2882 | Time: 0.2s | ETA: 21.6h
[18:26:54] Batch 50/312500 | Loss: 75.0412 | Student: 103.0252 | Distill: 65.7132 | Time: 0.8s | ETA: 68.1h
[18:26:56] Batch 60/312500 | Loss: 56.5836 | Student: 83.4666 | Distill: 47.6226 | Time: 0.2s | ETA: 20.7h
[18:26:59] Batch 70/312500 | Loss: 45.8323 | Student: 74.0522 | Distill: 36.4257 | Time: 0.3s | ETA: 21.8h
[18:27:00] Batch 80/312500 | Loss: 37.6681 | Student: 68.6218 | Distill: 27.3502 | Time: 0.2s | ETA: 13.2h
[18:27:04] Batch 90/312500 | Loss: 30.7621 | Student: 59.3091 | Distill: 21.2464 | Time: 0.4s | ETA: 31.4h
[18:27:06] Batch 100/312500 | Loss: 27.5267 | Student: 58.8991 | Distill: 17.0692 | Time: 0.2s | ETA: 17.7h
[18:27:11] Batch 110/312500 | Loss: 23.3279 | Student: 50.5322 | Distill: 14.2598 | Time: 0.5s | ETA: 44.5h
[18:27:13] Batch 120/312500 | Loss: 21.6328 | Student: 52.7572 | Distill: 11.2580 | Time: 0.2s | ETA: 15.6h
[18:27:15] Batch 130/312500 | Loss: 20.0454 | Student: 50.5497 | Distill: 9.8772 | Time: 0.2s | ETA: 19.1h
[18:27:22] Batch 140/312500 | Loss: 18.1607 | Student: 47.1262 | Distill: 8.5055 | Time: 0.6s | ETA: 52.8h
[18:27:23] Batch 150/312500 | Loss: 17.8534 | Student: 49.8106 | Distill: 7.2009 | Time: 0.2s | ETA: 15.0h
[18:27:24] Batch 160/312500 | Loss: 17.5491 | Student: 49.5521 | Distill: 6.8815 | Time: 0.1s | ETA: 9.9h
[18:27:26] Batch 170/312500 | Loss: 15.3402 | Student: 43.6052 | Distill: 5.9185 | Time: 0.1s | ETA: 10.0h
[18:27:27] Batch 180/312500 | Loss: 15.0305 | Student: 43.6783 | Distill: 5.4813 | Time: 0.1s | ETA: 10.5h
[18:27:28] Batch 190/312500 | Loss: 14.9108 | Student: 45.0601 | Distill: 4.8611 | Time: 0.1s | ETA: 12.0h
[18:27:30] Batch 200/312500 | Loss: 15.2718 | Student: 45.8072 | Distill: 5.0934 | Time: 0.1s | ETA: 12.0h
[18:27:31] Batch 210/312500 | Loss: 15.9526 | Student: 50.0503 | Distill: 4.5867 | Time: 0.1s | ETA: 10.9h
[18:27:32] Batch 220/312500 | Loss: 14.1643 | Student: 44.5202 | Distill: 4.0456 | Time: 0.1s | ETA: 10.9h
[18:27:34] Batch 230/312500 | Loss: 15.0588 | Student: 47.2937 | Distill: 4.3139 | Time: 0.1s | ETA: 10.5h
[18:27:35] Batch 240/312500 | Loss: 13.9152 | Student: 43.9449 | Distill: 3.9053 | Time: 0.1s | ETA: 10.3h
[18:27:41] Batch 250/312500 | Loss: 13.7943 | Student: 44.0016 | Distill: 3.7252 | Time: 0.6s | ETA: 50.7h
[18:27:42] Batch 260/312500 | Loss: 12.8608 | Student: 41.5402 | Distill: 3.3010 | Time: 0.1s | ETA: 12.8h
[18:27:48] Batch 270/312500 | Loss: 13.2245 | Student: 42.4147 | Distill: 3.4944 | Time: 0.5s | ETA: 47.2h
[18:27:50] Batch 280/312500 | Loss: 13.2251 | Student: 43.5070 | Distill: 3.1311 | Time: 0.2s | ETA: 17.0h
[18:27:52] Batch 290/312500 | Loss: 11.9249 | Student: 39.6150 | Distill: 2.6949 | Time: 0.2s | ETA: 17.7h
[18:27:53] Batch 300/312500 | Loss: 13.4055 | Student: 44.5451 | Distill: 3.0256 | Time: 0.2s | ETA: 13.5h
[18:27:53]   *** Saved BEST at batch 300 ***
[18:27:55] Batch 310/312500 | Loss: 11.8218 | Student: 38.8409 | Distill: 2.8154 | Time: 0.1s | ETA: 12.2h
[18:27:56] Batch 320/312500 | Loss: 12.8019 | Student: 43.0851 | Distill: 2.7075 | Time: 0.1s | ETA: 12.2h
[18:27:58] Batch 330/312500 | Loss: 12.0504 | Student: 40.2708 | Distill: 2.6436 | Time: 0.1s | ETA: 10.7h
[18:27:59] Batch 340/312500 | Loss: 12.4705 | Student: 43.4065 | Distill: 2.1585 | Time: 0.1s | ETA: 10.9h
[18:28:00] Batch 350/312500 | Loss: 12.6968 | Student: 44.7089 | Distill: 2.0261 | Time: 0.1s | ETA: 11.1h
[18:28:01] Batch 360/312500 | Loss: 13.0700 | Student: 44.7370 | Distill: 2.5144 | Time: 0.1s | ETA: 10.9h
[18:28:08] Batch 370/312500 | Loss: 13.1647 | Student: 45.4998 | Distill: 2.3863 | Time: 0.7s | ETA: 58.4h
[18:28:10] Batch 380/312500 | Loss: 12.0726 | Student: 40.8904 | Distill: 2.4666 | Time: 0.2s | ETA: 13.4h
[18:28:11] Batch 390/312500 | Loss: 11.4010 | Student: 40.4531 | Distill: 1.7170 | Time: 0.1s | ETA: 12.1h
[18:28:13] Batch 400/312500 | Loss: 11.8666 | Student: 40.1348 | Distill: 2.4439 | Time: 0.1s | ETA: 11.9h
[18:28:14] Batch 410/312500 | Loss: 12.3440 | Student: 43.4566 | Distill: 1.9731 | Time: 0.1s | ETA: 10.8h
[18:28:15] Batch 420/312500 | Loss: 13.0603 | Student: 45.8479 | Distill: 2.1311 | Time: 0.1s | ETA: 11.9h
[18:28:17] Batch 430/312500 | Loss: 11.3889 | Student: 40.7967 | Distill: 1.5863 | Time: 0.1s | ETA: 11.8h
[18:28:18] Batch 440/312500 | Loss: 11.3601 | Student: 39.9891 | Distill: 1.8171 | Time: 0.1s | ETA: 12.9h
[18:28:20] Batch 450/312500 | Loss: 11.5034 | Student: 41.5252 | Distill: 1.4961 | Time: 0.1s | ETA: 11.9h
[18:28:22] Batch 460/312500 | Loss: 11.7002 | Student: 41.7105 | Distill: 1.6968 | Time: 0.2s | ETA: 16.2h
[18:28:28] Batch 470/312500 | Loss: 11.8845 | Student: 41.9768 | Distill: 1.8537 | Time: 0.7s | ETA: 56.7h
[18:28:31] Batch 480/312500 | Loss: 11.7974 | Student: 42.2821 | Distill: 1.6358 | Time: 0.3s | ETA: 23.3h
[18:28:33] Batch 490/312500 | Loss: 12.4831 | Student: 44.3037 | Distill: 1.8763 | Time: 0.2s | ETA: 17.7h
[18:28:35] Batch 500/312500 | Loss: 12.6424 | Student: 45.4692 | Distill: 1.7002 | Time: 0.2s | ETA: 14.5h
[18:28:37] Batch 510/312500 | Loss: 11.6065 | Student: 42.4331 | Distill: 1.3310 | Time: 0.2s | ETA: 17.6h
[18:28:39] Batch 520/312500 | Loss: 11.2185 | Student: 40.3949 | Distill: 1.4931 | Time: 0.3s | ETA: 22.0h
[18:28:43] Batch 530/312500 | Loss: 12.6999 | Student: 46.0742 | Distill: 1.5752 | Time: 0.4s | ETA: 30.4h
[18:28:45] Batch 540/312500 | Loss: 11.2850 | Student: 41.0839 | Distill: 1.3521 | Time: 0.2s | ETA: 17.8h
[18:28:48] Batch 550/312500 | Loss: 12.0390 | Student: 42.7060 | Distill: 1.8167 | Time: 0.3s | ETA: 22.4h
[18:28:50] Batch 560/312500 | Loss: 12.6197 | Student: 45.9804 | Distill: 1.4994 | Time: 0.3s | ETA: 23.7h
[18:28:52] Batch 570/312500 | Loss: 10.4797 | Student: 37.8007 | Distill: 1.3728 | Time: 0.2s | ETA: 13.2h
[18:28:53] Batch 580/312500 | Loss: 11.5336 | Student: 42.3620 | Distill: 1.2574 | Time: 0.1s | ETA: 11.6h
[18:28:56] Batch 590/312500 | Loss: 11.8307 | Student: 43.7227 | Distill: 1.2001 | Time: 0.3s | ETA: 24.6h
[18:28:58] Batch 600/312500 | Loss: 10.3996 | Student: 38.0707 | Distill: 1.1759 | Time: 0.1s | ETA: 12.6h
[18:28:58]   *** Saved BEST at batch 600 ***
[18:28:59] Batch 610/312500 | Loss: 11.2467 | Student: 41.7893 | Distill: 1.0658 | Time: 0.1s | ETA: 12.1h
[18:29:00] Batch 620/312500 | Loss: 10.7987 | Student: 39.9972 | Distill: 1.0659 | Time: 0.1s | ETA: 11.0h
[18:29:03] Batch 630/312500 | Loss: 10.9414 | Student: 40.0040 | Distill: 1.2539 | Time: 0.2s | ETA: 21.4h
[18:29:06] Batch 640/312500 | Loss: 11.0243 | Student: 41.2281 | Distill: 0.9564 | Time: 0.3s | ETA: 24.8h
[18:29:09] Batch 650/312500 | Loss: 11.2752 | Student: 40.8853 | Distill: 1.4052 | Time: 0.3s | ETA: 29.6h
[18:29:11] Batch 660/312500 | Loss: 11.0958 | Student: 40.7925 | Distill: 1.1969 | Time: 0.2s | ETA: 13.6h
[18:29:14] Batch 670/312500 | Loss: 10.4167 | Student: 38.3124 | Distill: 1.1182 | Time: 0.4s | ETA: 30.6h
[18:29:23] Batch 680/312500 | Loss: 11.7494 | Student: 42.7913 | Distill: 1.4021 | Time: 0.9s | ETA: 74.1h
[18:29:28] Batch 690/312500 | Loss: 10.6131 | Student: 38.9902 | Distill: 1.1540 | Time: 0.4s | ETA: 38.5h
[18:29:33] Batch 700/312500 | Loss: 11.0370 | Student: 40.6515 | Distill: 1.1655 | Time: 0.5s | ETA: 42.7h
[18:29:35] Batch 710/312500 | Loss: 11.3786 | Student: 42.5825 | Distill: 0.9773 | Time: 0.3s | ETA: 24.1h
[18:29:40] Batch 720/312500 | Loss: 10.8778 | Student: 40.3689 | Distill: 1.0474 | Time: 0.5s | ETA: 39.9h
[18:29:42] Batch 730/312500 | Loss: 10.6086 | Student: 39.5072 | Distill: 0.9757 | Time: 0.2s | ETA: 20.1h
[18:29:50] Batch 740/312500 | Loss: 12.5438 | Student: 47.4236 | Distill: 0.9172 | Time: 0.7s | ETA: 61.7h
[18:29:52] Batch 750/312500 | Loss: 10.9630 | Student: 41.3357 | Distill: 0.8387 | Time: 0.3s | ETA: 22.2h
[18:29:54] Batch 760/312500 | Loss: 10.8034 | Student: 40.5346 | Distill: 0.8930 | Time: 0.2s | ETA: 15.5h
[18:29:56] Batch 770/312500 | Loss: 10.8305 | Student: 40.9960 | Distill: 0.7753 | Time: 0.2s | ETA: 13.1h
[18:29:57] Batch 780/312500 | Loss: 9.6959 | Student: 35.9455 | Distill: 0.9460 | Time: 0.1s | ETA: 11.5h
[18:30:03] Batch 790/312500 | Loss: 10.1509 | Student: 38.5435 | Distill: 0.6868 | Time: 0.6s | ETA: 55.0h
